"geonameid","hasuntuya_asciiname","hasuntuya_zh","hasuntuya_mn","sarala_asciiname","sarala_zh","sarala_mn","sarala_other","sarala_certainty.012","sarala_pinyin.compliant","sarala_notes","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","mon_sel","mon_grams","chn_sel","class","chn_grams"
2028459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tun-ta-cha-ta-kai-kao-le","tun-ta-cha-ta-kai-kao-le","Tun-ta-cha-ta-kai-kao-le,Ulaan Balgasni Sayr,Ulaan Balgasnï Sayr",41.56667,104,"H","WAD",4,"e;kai;kao;tun",1,"Mongolian","cha"
2028670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A-ken-wu-su-kao-le","a-ken-wu-su-kao-le","A-ken-wu-su-kao-le,Tsagaan Uulin Sayr,Tsagaan Uulïn Sayr",41.75,103.21667,"H","WAD",3,"e;kao;ken",1,"Mongolian","ke"
2028866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tooroyt Sayr","tooroyt sayr","T'ao-jui-t'u-kao-le,Tooroyt Sayr,T’ao-jui-t’u-kao-le",41.65,103.53333,"H","WAD",8," sa;ayr;oro;oyt;roy;say;t s;yt ",1,"Mongolian","too"
2029294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sha-t’ing-kao-le","sha-t'ing-kao-le","Sha-t'ing-kao-le,Sha-t’ing-kao-le,Shatin Sayr,Shatïn Sayr",41.56667,104,"H","WAD",2,"e;kao",2,"Tie","ing;sha"
2029302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sha-erh-t’ao-le-kai-chun-kao-le","sha-erh-t'ao-le-kai-chun-kao-le","Sha-erh-t'ao-le-kai-chun-kao-le,Sha-erh-t’ao-le-kai-chun-kao-le,Shar Tolgoyn Dzuun Sayr,Shar Tolgoyn Dzüün Sayr",41.45,103.65,"H","WAD",5,"e;erh;hun;kai;kao",2,"Mongolian","chu;sha"
2029319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sha-erh-hu-la-sen-kao-le","sha-erh-hu-la-sen-kao-le","Sha-erh-hu-la-sen-kao-le,Shar Hulsin Sayr,Shar Hulsïn Sayr",41.76667,102.95,"H","WAD",5,"e;erh;kao;se;sen",1,"Mongolian","sha"
2029882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Naran Bulagiyn Ovoo","naran bulagiyn ovoo","Ch'a-kan-ao-pao,Ch’a-kan-ao-pao,Naran Bulagiyn Ovoo",40.05,106.06667,"T","HLL",14," bu;agi;an ;ara;bul;giy;iyn;lag;n b;n o;nar;ran;ul;ula",2,"Mongolian"," ov;ovo"
2031877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Demchiyn Nuur","demchiyn nuur","Demchiyn Nuur,Te-mu-ch'in-no-erh,Te-mu-ch’in-no-erh",48.98333,118.51667,"H","LK",7," nu;dem;e;hiy;iyn;n n;ur",1,"Mongolian","chi"
2033051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Horinger Xian","horinger xian","Helinge'er,Helinge'er Xian,Helinge’er,Helinge’er Xian,Ho-lin-ko-erh Hsien,Horinger,Horinger Xian,he lin ge er,he lin ge er xian,和林格尔,和林格尔县",40.38612,111.81886,"A","ADM3",7,"e;er ;ger;hor;nge;ori;rin",6,"Mongolian"," xi;ian;ing;r x;xi;xia"
2033052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ershibaqingcun","ershibaqingcun","Erh-shih-pa-ch'ing-ts'un,Erh-shih-pa-ch’ing-ts’un,Ershibaqingcun",41.55,113.86667,"P","PPL",5,"baq;e;ers;hib;rsh",8,"Chinese","aqi;cun;gcu;iba;ing;ngc;qin;shi"
2033066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhuozi Xian","zhuozi xian","Cho-tzu Hsien,Zhuozi,Zhuozi Xian,zhuo zi,zhuo zi xian,卓资,卓资县",40.92682,112.5479,"A","ADM3",0,"",9,"Chinese"," xi;huo;i x;ian;ozi;uoz;xi;xia;zhu"
2033067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhuozishan","zhuozishan","Cho-tzu,Cho-tzu-shan,Chotzushanchen,Zhuozi,Zhuozi Xian,Zhuozishan,Zhuozishan Zhen,zhuo zi shan,zhuo zi shan zhen,zhuo zi xian,卓资县,卓资山,卓资山镇",40.89917,112.56028,"P","PPLA3",0,"",8,"Chinese","han;huo;ish;ozi;sha;uoz;zhu;zis"
2033114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhirui","zhirui","",42.83333,117.8,"P","PPL",2,"hir;iru",2,"Tie","rui;zhi"
2033132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhengxiangbai Qi","zhengxiangbai qi","All Bordered White Banner,Cheng-hsiang-pai Ch'i,Cheng-hsiang-pai Ch’i,Xulun Hobot Qagan,Xulun Hobot Qagan Qi,Zhengxiangbai,Zhengxiangbai Qi,zheng xiang bai,zheng xiang bai qi,正镶白,正镶白旗",42.53226,114.99251,"A","ADM3",3,"ai ;e;i q",13,"Chinese"," qi;ang;bai;eng;gba;gxi;hen;ian;ngb;ngx;xi;xia;zhe"
2033134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhenglan Qi","zhenglan qi","All Blue Banner,Cheng-lan Ch'i,Cheng-lan Ch’i,Xulun Hoh Qi,Zhenglan,Zhenglan Qi,zheng lan,zheng lan qi,正蓝,正蓝旗",42.5419,115.96169,"A","ADM3",3,"an ;e;lan",7,"Chinese"," qi;eng;gla;hen;n q;ngl;zhe"
2033154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhaopo","zhaopo","",40.31667,110.5,"P","PPL",2,"aop;opo",2,"Tie","hao;zha"
2033156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhaojunmu","zhaojunmu","",40.75,111.8,"S","HSTS",3,"jun;oju;unm",5,"Chinese","aoj;hao;j;nmu;zha"
2033191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhangjiayao","zhangjiayao","",43.96667,123.21667,"P","PPL",1,"aya",10,"Chinese","ang;gji;han;iay;j;jia;ngj;ya;yao;zha"
2033206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhanggao","zhanggao","",40.72361,113.71722,"P","PPL",0,"",6,"Chinese","ang;gao;gga;han;ngg;zha"
2033214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qaidam","qaidam","Qaidam,Zhandanzhao",40.35278,109.68639,"P","PPL",1,"qai",4,"Chinese","aid;am;dam;ida"
2033219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhaijiacun","zhaijiacun","Chai-chia-ts'un,Chai-chia-ts’un,Zhaijiacun",41.73333,113.45,"P","PPL",0,"",9,"Chinese","acu;aij;cun;hai;iac;iji;j;jia;zha"
2033224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zalantun Shi","zalantun shi","Buteha Banner,Butha Qi,Pu-t'e-ha Ch'i,Pu-t’e-ha Ch’i,Put'eha Banner,Put’eha Banner,Zalantun,Zalantun Shi,Zhalantun,Zhalantun Shi,bu te ha qi,zha lan tun,zha lan tun shi,布特哈旗,扎兰屯,扎兰屯市",47.93908,122.54201,"A","ADM3",7," sh;ala;ant;lan;n s;tun;un ",2,"Mongolian","ntu;shi"
2033225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhalantun","zhalantun","Butha Qi,Cha-lan-tun,Chzhalan'tun',Chzhalantun,Cjalanjtunj,NZL,Pu-t'e-ha-ch'i,Pu-t’e-ha-ch’i,Tsa-lan-t'un,Tsa-lan-t’un,Xinghua,Xinghua Jiedao,Ya-lu,Ya-lu-hsien,Zalantun,Zhalantun,Zhalantun Shi,bu te ha qi,xing hua,xing hua jie dao,zha lan tun,zha lan tun shi,Чжаланьтунь,兴华,兴华街道,布特哈旗,扎兰屯,扎兰屯市",48.00945,122.73651,"P","PPLA3",5,"ala;ant;hal;lan;tun",2,"Mongolian","ntu;zha"
2033228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yutiangao","yutiangao","Yu-t'ien-kao,Yutiangao,Yü-t’ien-kao",42.84056,119.76889,"P","PPL",2,"nga;uti",5,"Chinese","ang;gao;ian;tia;yut"
2033262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yulin","yulin","Yulin,yu lin,育林",49.8377,121.26675,"P","PPL",1,"ul",3,"Chinese","lin;uli;yul"
2033265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yuliangpu","yuliangpu","",43.41667,121.98333,"P","PPL",2,"gpu;ul",6,"Chinese","ang;ian;lia;ngp;uli;yul"
2033268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yujuncun","yujuncun","",46.03333,119.83333,"P","PPL",2,"jun;uju",5,"Chinese","cun;j;ncu;unc;yuj"
2033290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yuanlin","yuanlin","Juan'lin',Yuanlin,Yuanlin Zhen,yuan lin,yuan lin zhen,Юаньлинь,原林,原林镇",49.88546,121.38735,"P","PPLA4",0,"",5,"Chinese","anl;lin;nli;uan;yua"
2033291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yuanbaoshan Zhan","yuanbaoshan zhan","Yuan-pao-shan,Yuanbaoshan Zhan,Yüan-pao-shan",42.23667,119.23389,"S","RSTN",2,"an ;nba",11,"Chinese"," zh;anb;aos;bao;han;n z;osh;sha;uan;yua;zha"
2033297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Youyi Shuiku","youyi shuiku","Youyi Shuiku,you yi shui ku,友谊水库",40.8506,114.01192,"H","RSV",3," sh;i s;yi ",7,"Chinese","hui;iku;ouy;shu;uik;uyi;you"
2033303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yongxing","yongxing","",40.445,112.26389,"P","PPL",0,"",7,"Chinese","gxi;ing;ngx;ong;xi;xin;yon"
2033306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yongshunbu","yongshunbu","Yongshunbu,Yung-shun-p'u-ts'un,Yung-shun-pao,Yung-shun-pao-ts'un,Yung-shun-pao-ts’un,Yung-shun-p’u-ts’un",41.62222,113.64167,"P","PPL",3,"hun;nbu;unb",5,"Chinese","gsh;ngs;ong;shu;yon"
2033310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yongsheng","yongsheng","",41.08333,107.25,"P","PPL",1,"e",7,"Chinese","eng;gsh;hen;ngs;ong;she;yon"
2033332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yong’an","yong'an","Yong'an,Yong'an Zhen,Yong’an,Yong’an Zhen,yong an,yong an zhen,永安,永安镇",45.81318,121.64068,"P","PPLA4",0,"",2,"Chinese","ong;yon"
2033334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yolin Mod","yolin mod","Yao-li-mao-tu,Yolin Mod",44.11667,122.25,"P","PPL",5," mo;in ;mod;n m;yol",2,"Mongolian","lin;oli"
2033342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yitulihe","yitulihe","I-t'u-li-ho,I-tuli,I-t’u-li-ho,Yitulihe,Yitulihe Zhen,yi tu hei he,yi tu hei he zhen,伊图黑河,伊图黑河镇",50.6351,121.56766,"P","PPLA4",3,"e;tul;ul",5,"Chinese","ihe;itu;lih;uli;yit"
2033352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yin Shan","yin shan","Yin Shan,Yin-shan Shan-mo",41.28194,108.8025,"T","MTS",3," sh;in ;n s",3,"Tie","han;sha;yin"
2033360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yin He","yin he","Yin He,Yin Ho",42.31667,118.61667,"H","STM",4," he;e;in ;n h",2,"Mongolian"," h;yin"
2033361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yinhao","yinhao","Yinhao,yin hao,银号",41.11959,110.30635,"P","PPLA4",2,"inh;nha",2,"Tie","hao;yin"
2033382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yingchen","yingchen","",49.6,124.03333,"P","PPL",1,"e",6,"Chinese","che;gch;hen;ing;ngc;yin"
2033386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yinbeiliang","yinbeiliang","",40.95,113.31667,"P","PPL",1,"e",9,"Chinese","ang;bei;eil;ian;ili;inb;lia;nbe;yin"
2033387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yimuhe","yimuhe","I-mu,I-mu-ch'ia,I-mu-ch’ia,I-mu-ho,I-mu-k'a,I-mu-k’a,Imuya,Yimuhe",52.75,120.11667,"P","PPL",3,"e;muh;uhe",2,"Mongolian","imu;yim"
2033388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yiminhe Muchang","yiminhe muchang","Yiminhe Muchang",48.66667,119.9,"P","PPLF",5," mu;e;e m;he ;inh",9,"Chinese","ang;cha;han;imi;min;muc;nhe;uch;yim"
2033389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yimin He","yimin he","I-min Ho,I-min-kuo-lo Ho,Iminkhe,Min Ho,Yimin He,yi min he,伊敏河",49.26667,119.71667,"H","STM",4," he;e;in ;n h",4,"Tie"," h;imi;min;yim"
2033390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yimin Sumu","yimin sumu","I-min-ho,Yimin,Yimin Sumu,Yiminhe,yi min su mu,伊敏苏木",48.43083,119.75496,"P","PPL",5," su;in ;n s;sum;umu",3,"Mongolian","imi;min;yim"
2033399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yiliekede","yiliekede","I-lieh-K'o-te,I-lieh-K’o-te,Yiliekede,yi lie ke de,伊列克得",48.84452,121.58775,"P","PPL",3,"e;ede;eke",6,"Chinese","iek;ili;ke;ked;lie;yil"
2033409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yihegong","yihegong","",42.78333,118.31667,"P","PPL",2,"e;yih",5,"Chinese","ego;gon;heg;ihe;ong"
2033514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yangd Sum","yangd sum","Yang-lo-su-mu,Yang-tao-su-mu,Yangd Sum",43.32028,115.64389,"P","PPL",3," su;gd ;sum",5,"Chinese","ang;d s;ngd;ya;yan"
2033517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yangchangzi He","yangchangzi he","Yang-ch'ang-tzu Ho,Yang-ch’ang-tzu Ho,Yangchangzi He",42.51306,119.58722,"H","STM",3," he;e;i h",10,"Chinese"," h;ang;cha;gch;gzi;han;ngc;ngz;ya;yan"
2033518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yangchang","yangchang","",43.61667,119.16667,"P","PPL",0,"",7,"Chinese","ang;cha;gch;han;ngc;ya;yan"
2033519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yangchang","yangchang","",42.62389,119.99472,"P","PPL",0,"",7,"Chinese","ang;cha;gch;han;ngc;ya;yan"
2033523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yandian","yandian","Yandian,Yen-tien",40.0475,110.2525,"P","PPL",1,"and",5,"Chinese","dia;ian;ndi;ya;yan"
2033528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yamenyingzi","yamenyingzi","Ya-men-ying-tzu,Yamenyingzi",42.38333,121.05,"P","PPL",2,"e;yam",10,"Chinese","am;ame;eny;gzi;ing;men;ngz;nyi;ya;yin"
2033529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yamenying","yamenying","Ya-men,Yamenying",43.34861,122.23,"P","PPL",2,"e;yam",8,"Chinese","am;ame;eny;ing;men;nyi;ya;yin"
2033530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yamenmiao","yamenmiao","",43.91667,119.53333,"P","PPL",2,"e;yam",8,"Chinese","am;ame;enm;iao;men;mia;nmi;ya"
2033532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yalu He","yalu he","Ya-lu Ho,Yalu He,Yalukhe,ya lu he,雅鲁河",46.9533,123.51537,"H","STM",6," he;e;lu;lu ;u h;yal",3,"Mongolian"," h;alu;ya"
2033533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yalu","yalu","Jalu,Ya-erh,Yal,Yalu,ya lu,Ялу,雅鲁",48.54353,122.13719,"P","PPL",2,"lu;yal",2,"Tie","alu;ya"
2033535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yakeshi Shi","yakeshi shi","Hsi-kuei-t'u Ch'i,Hsi-kuei-t’u Ch’i,Hsikueit'u Banner,Hsikueit’u Banner,Xuguit Qi,Yakeshi,Yakeshi Shi,xi gui tu qi,ya ke shi,ya ke shi shi,喜桂图旗,牙克石,牙克石市",49.32123,121.27807,"A","ADM3",5," sh;ake;e;hi ;i s",6,"Chinese","esh;ke;kes;shi;ya;yak"
2033536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yakeshi","yakeshi","Hsi-kuei-t'u,Hsi-kuei-t’u,Jakehshi,Shih-k'o-ya,Shih-k’o-ya,Xingong Jiedao,Xuguit Qi,Ya-k'o-shih,Ya-k’o-shih,Yakeshi,Yakeshi Shi,xi gui tu qi,xin gong jie dao,ya ke shi,ya ke shi shi,Якэши,喜桂图旗,新工街道,牙克石,牙克石市",49.28333,120.73333,"P","PPLA3",2,"ake;e",6,"Chinese","esh;ke;kes;shi;ya;yak"
2033537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yake Shan","yake shan","",48,121.5,"T","MTS",5," sh;ake;e;e s;ke ",5,"Tie","han;ke;sha;ya;yak"
2033543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yagan","yagan","Yagan,ya gan,雅干",42.01667,102.58333,"P","PPL",3,"aga;gan;yag",1,"Mongolian","ya"
2033544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yadong","yadong","Ya-tung,Yadong,Yadong Zhen,ya dong,ya dong zhen,亚东,亚东镇",48.5031,123.78273,"P","PPLA4",0,"",5,"Chinese","ado;don;ong;ya;yad"
2033545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yabut","yabut","",42.2,101.03333,"P","PPL",2,"but;yab",2,"Tie","abu;ya"
2033562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suhai Shuwan","suhai shuwan","Suhai Shuwan,Xuhaishuwan",40.24639,110.8425,"P","PPL",5," sh;ai ;i s;suh;uha",5,"Tie","hai;huw;shu;uwa;wan"
2033563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xugui Sum","xugui sum","Hsiu-kou,Xugui,Xugui Sum",40.29694,103.59806,"P","PPL",4," su;i s;sum;ui ",4,"Tie","gui;ugu;xu;xug"
2033564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xuguang","xuguang","Xuguang,xu guang,旭光",51.50587,122.09126,"P","PPL",0,"",6,"Chinese","ang;gua;uan;ugu;xu;xug"
2033567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xuetian","xuetian","Xuetian,Xuetian Xiang,xue tian,xue tian xiang,学田,学田乡",45.66667,121.26667,"P","PPLA4",2,"e;eti",5,"Chinese","ian;tia;uet;xu;xue"
2033575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xogin","xogin","Shao-ken,Xogin",43.63333,120.85,"P","PPL",2,"gin;ogi",0,"Mongolian",""
2033576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xizi","xizi","Han-tzu,Hsi-tzu,Xizi",41.78333,119.25,"P","PPL",0,"",3,"Chinese","izi;xi;xiz"
2033585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xixiaozhao","xixiaozhao","Hsi-hsiao-chao,Xixiaozhao",40.87694,108.35806,"P","PPL",0,"",9,"Chinese","aoz;hao;iao;ixi;ozh;xi;xia;xix;zha"
2033589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xiwulanbulang","xiwulanbulang","",41.1,110.96667,"P","PPL",6,"bul;lan;nbu;ul;ula;wul",5,"Mongolian","anb;ang;iwu;xi;xiw"
2033592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xiwopu","xiwopu","Hsi-wo-p'u,Hsi-wo-p’u,Xiwopu",42.74444,119.01917,"P","PPL",1,"opu",4,"Chinese","iwo;wop;xi;xiw"
2033599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xiwagebo","xiwagebo","Xiwagebo,Xiwagebu",40.98806,108.29194,"P","PPL",3,"e;ebo;geb",5,"Chinese","age;iwa;wag;xi;xiw"
2033607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xi Ujimqin Qi","xi ujimqin qi","Hsi-wu-chu-mu-ch'in Ch'i,Hsi-wu-chu-mu-ch’in Ch’i,West Ujumuchin Banner,Wu-chu-mu-ch'in-yu-i Ch'i,Wu-chu-mu-ch’in-yu-i Ch’i,Xi Ujimqin,Xi Ujimqin Qi,Xiwuzhumuqin Qi,xi wu,xi wu zhu mu qin qi,西乌,西乌珠穆沁旗",44.70669,117.81078,"A","ADM3",4," uj;i u;in ;mqi",8,"Chinese"," qi;j;jim;n q;qin;uji;xi;xi "
2033618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xishanzui","xishanzui","Hsi-shan-tsui,Urad Qianqi,Wu-la-t'e-ch'ien-ch'i,Wu-la-t’e-ch’ien-ch’i,Wulateqian Qi.,Xishanzui,Xishanzui Zhen,wu la te qian qi,xi shan zui,xi shan zui zhen,乌拉特前旗,西山嘴,西山嘴镇",40.7075,108.64389,"P","PPLA4",0,"",8,"Chinese","anz;han;ish;nzu;sha;xi;xis;zui"
2033620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xishan","xishan","Hsi-shan,Xishan",42.60472,119.05833,"P","PPL",0,"",5,"Chinese","han;ish;sha;xi;xis"
2033625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xiqiao","xiqiao","Hsi-ch'iao,Hsi-ch’iao,Xiqiao",41.8,119,"P","PPL",0,"",5,"Chinese","iao;iqi;qia;xi;xiq"
2033637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xinzhen","xinzhen","",42.61528,121.03528,"P","PPL",1,"e",6,"Chinese","hen;inz;nzh;xi;xin;zhe"
2033639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xinzhangfang","xinzhangfang","Hsin-chang-fang,Xinzhangfang,xin zhang fang,新帐房",50.13703,121.81142,"P","PPL",0,"",10,"Chinese","ang;fan;gfa;han;inz;ngf;nzh;xi;xin;zha"
2033654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xin Us","xin us","Hsi-ni-wu-su,Xin Us",40.7525,105.35583,"P","PPL",3," us;in ;n u",2,"Mongolian","xi;xin"
2033659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xintian","xintian","Xintian,Xintian Zhen,xin tian,xin tian zhen,新天,新天镇",51.20354,124.20852,"P","PPLA4",2,"int;nti",4,"Chinese","ian;tia;xi;xin"
2033672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xinmincun","xinmincun","Hsin-min-ts'un,Hsin-min-ts’un,Xinmincun",42.61667,120.21667,"P","PPL",0,"",8,"Chinese","cun;inc;inm;min;ncu;nmi;xi;xin"
2033686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xinlin","xinlin","Hsin-lin,Xinlin",43.96667,118.05,"P","PPL",0,"",5,"Chinese","inl;lin;nli;xi;xin"
2033698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xinkai He","xinkai he","Hsin-k'ai Ho,Hsin-k’ai Ho,Hsin-liao Ho,Uriji-muru,Xinkai He",43.59417,123.48861,"H","STM",7," he;ai ;e;i h;ink;kai;nka",3,"Mongolian"," h;xi;xin"
2033706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xiniqi","xiniqi","Hsi-ni-ch'i,Hsi-ni-ch’i,Xiniqi,Xiniqi Zhen,xi ni qi,xi ni qi zhen,西尼气,西尼气镇",50.38508,121.69767,"P","PPLA4",1,"niq",4,"Chinese","ini;iqi;xi;xin"
2033707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xinhui","xinhui","Ao-han-ch'i,Ao-han-ch’i,Aohan Qi,Hsin-hui,Ts'ai-yuan-tzu,Ts’ai-yüan-tzu,Xinhui,Xinhui Zhen,ao han qi,xin hui,xin hui zhen,敖汉旗,新惠,新惠镇",42.28389,119.89833,"P","PPLA3",2,"inh;nhu",3,"Chinese","hui;xi;xin"
2033711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xinhua","xinhua","",41.05306,107.58972,"P","PPL",2,"inh;nhu",3,"Chinese","hua;xi;xin"
2033712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xin Hot","xin hot","A-pa-ka-ch'i,A-pa-ka-ch’i,Abag Qi,Abaga Qi,Han-pu-miao,Hanbeimiao,Hsin-hao-t'e,Hsin-hao-t’e,Xin Hot,a ba ga qi,han bei miao,xin hao te,新浩特,汉贝庙,阿巴嘎旗",44.02005,114.96806,"P","PPL",4," ho;hot;in ;n h",3,"Mongolian"," h;xi;xin"
2033713,"Xinhen Barun","n","y","Xinhen Barun","n","y","",2,"n","","Xinhen Barun","xinhen barun","",48.9,119.8,"P","PPL",8," ba;aru;bar;e;en ;inh;n b;run",4,"Mongolian","hen;nhe;xi;xin"
2033720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xingshunxi","xingshunxi","Hsing-shun-hsi,Xingshunxi",41.26583,109.98389,"P","PPL",1,"hun",8,"Chinese","gsh;ing;ngs;nxi;shu;unx;xi;xin"
2033758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xinghe Xian","xinghe xian","Hsing-ho Hsien,Xinghe,Xinghe Xian,xing he,xing he xian,兴和,兴和县",40.92223,113.81535,"A","ADM3",2,"e;he ",9,"Chinese"," xi;e x;ghe;ian;ing;ngh;xi;xia;xin"
2033759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xinghe Chengguanzhen","xinghe chengguanzhen","Erh-tao-ho,Hingho,Hingho-hsien,Hsing-ho,Hsing-ho-hsien,Xinghe,Xinghe Chengguanzhen,Xinghe Xian,xing he,xing he cheng guan zhen,xing he xian,兴和,兴和县,兴和城关镇",40.87556,113.88389,"P","PPLA3",2,"e;he ",17,"Chinese"," ch;anz;che;e c;eng;ggu;ghe;gua;hen;ing;ngg;ngh;nzh;uan;xi;xin;zhe"
2033769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xing’anling Pinggang","xing'anling pinggang","",46.8,120.08333,"T","MT",2,"gan;ng ",11,"Chinese"," pi;ang;anl;gga;ing;lin;ngg;nli;pin;xi;xin"
2033770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xing’anling","xing'anling","",48.8,121.7,"P","PPL",0,"",6,"Chinese","anl;ing;lin;nli;xi;xin"
2033771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xing’anli","xing'anli","",49.7,122.16667,"P","PPL",0,"",5,"Chinese","anl;ing;nli;xi;xin"
2033778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xindianzi","xindianzi","",40.25,112.08333,"P","PPL",0,"",8,"Chinese","anz;dia;ian;ind;ndi;nzi;xi;xin"
